,date,ticker,expected_returns
2179,2020-12-31,CAH,-0.0071526766
2180,2021-03-31,CAH,-0.013097405
2181,2021-06-30,CAH,-0.015227556
2182,2021-09-30,CAH,-0.014014125
2183,2020-06-30,CF,-0.03042394
2184,2020-09-30,CF,-0.081303775
2185,2020-12-31,CF,-0.028232276
2186,2021-03-31,CF,-0.04777026
2187,2021-06-30,CF,-0.047677875
2188,2021-09-30,CF,-0.05515492
2189,2020-06-30,FFIV,0.044860244
2190,2020-09-30,FFIV,0.030053914
2191,2020-12-31,FFIV,0.042873353
2192,2021-03-31,FFIV,0.057377636
2193,2021-06-30,FFIV,0.06799084
2194,2021-09-30,FFIV,0.083081365
2195,2020-06-30,MKTX,0.0683597
2196,2020-09-30,MKTX,0.10393727
2197,2020-12-31,MKTX,0.13035932
2198,2021-03-31,MKTX,0.10601181
2199,2021-06-30,MKTX,0.1336005
2200,2021-09-30,MKTX,0.11700237
2201,2020-06-30,CBOE,0.03647238
2202,2020-09-30,CBOE,0.036957175
2203,2020-12-31,CBOE,0.028953522
2204,2021-03-31,CBOE,0.03916788
